0,2022-12-11 09:36,Suite for rent,https://abbotsford.craigslist.org/apa/d/langley-suite-for-rent/7565121926.html,"Brookswood, Langley",2,,1850
1,2022-12-11 09:30,Beautiful 3 Bedroom Condo for Rent,https://abbotsford.craigslist.org/apa/d/chilliwack-beautiful-bedroom-condo-for/7564263239.html,Chilliwack,3,1322.0,2250
2,2022-12-11 09:05,2.5 bathroom home in Matsqui Village,https://abbotsford.craigslist.org/apa/d/abbotsford-west-25-bathroom-home-in/7564039006.html,Abbotsford,3,2200.0,3200
3,2022-12-11 09:05,2 bedroom suite,https://abbotsford.craigslist.org/apa/d/gerlach-bedroom-suite/7562660684.html,Chilliwack,1,,1500
4,2022-12-11 09:05,4-5 bedroom house,https://abbotsford.craigslist.org/apa/d/abbotsford-southeast-5-bedroom-house/7559832006.html,abbotsford,4,,2500
5,2022-12-11 08:51,Beautiful Langley Condo - SAVE $500!!,https://abbotsford.craigslist.org/apa/d/langley-beautiful-langley-condo-save-500/7567134489.html,Langley,2,830.0,2500
6,2022-12-11 08:12,East Abbotsford  - 5 BDRM House for Rent - Superb location,https://abbotsford.craigslist.org/apa/d/abbotsford-east-abbotsford-bdrm-house/7567120866.html,Abbotsford,5,2450.0,3695
7,2022-12-11 07:23,EAST Abbotsford 5 BDRM House for Rent - Fantastic location,https://abbotsford.craigslist.org/apa/d/abbotsford-east-abbotsford-bdrm-house/7567105388.html,Abbotsford,5,2450.0,3695
8,2022-12-10 09:35,EAST Abbotsford 5 BDRM House for Rent - Fantastic location,https://abbotsford.craigslist.org/apa/d/abbotsford-east-abbotsford-bdrm-house/7566822874.html,Abbotsford,5,2450.0,3695
9,2022-12-09 10:34,EAST Abbotsford 5 BDRM House for Rent - Fantastic location,https://abbotsford.craigslist.org/apa/d/abbotsford-east-abbotsford-bdrm-house/7566484919.html,Abbotsford,5,2450.0,3695
10,2022-12-11 06:32,Stunning View suite 1bed/1bath,https://abbotsford.craigslist.org/apa/d/abbotsford-stunning-view-suite-1bed/7567090775.html,Abbotsford,1,,1350
11,2022-12-10 22:48,Brand new 2 bed 2 bath 956 SF condo at Yokson in Langley,https://abbotsford.craigslist.org/apa/d/langley-brand-new-bed-bath-956-sf-condo/7567046397.html,Langley Willoughby Heights,2,956.0,2650
12,2022-12-10 22:27,2 BEDROOM LEGAL SUITE - EXCELLENT LOCATION,https://abbotsford.craigslist.org/apa/d/langley-township-east-bedroom-legal/7567044861.html,Aldergrove,2,800.0,1700
13,2022-12-10 21:48,Newlands Upper Floor,https://abbotsford.craigslist.org/apa/d/langley-newlands-upper-floor/7567041274.html,Langley,3,1219.0,2850
14,2022-12-10 21:47,Jan. 1/15 or Feb. 1 - Spacious and new 1 br + den,https://abbotsford.craigslist.org/apa/d/maple-ridge-jan-15-or-feb-spacious-and/7563791899.html,Maple Ridge,1,710.0,1950
15,2022-12-10 21:41,Home on Acreage,https://abbotsford.craigslist.org/apa/d/aldergrove-home-on-acreage/7567040363.html,Aldergrove,3,1800.0,3500
16,2022-12-10 21:17,"ENTIRE HOME, RV PARKING! 4 beds, 2 baths Family Neighbourhood",https://abbotsford.craigslist.org/apa/d/maple-ridge-entire-home-rv-parking-beds/7567037822.html,Maple Ridge,4,2200.0,3750
17,2022-12-10 21:15,West Central 4BED Entire home for rent with RV parking!,https://abbotsford.craigslist.org/apa/d/maple-ridge-west-central-4bed-entire/7563337818.html,Maple Ridge,4,2200.0,3750
18,2022-12-10 21:10,"2 bedroom , 2 bathroom for rent in Chilliwack, Dec 15 or Jan 1",https://abbotsford.craigslist.org/apa/d/chilliwack-bedroom-bathroom-for-rent-in/7565276958.html,Chilliwack,2,,1700
19,2022-12-10 21:01,New 3 bedroom and flex townhouse,https://abbotsford.craigslist.org/apa/d/langley-township-northwest-new-bedroom/7567035932.html,Langley,3,1446.0,3100
20,2022-12-10 20:50,"4 bedrooms,2 level house for rent+2 1/2 bath",https://abbotsford.craigslist.org/apa/d/chilliwack-bedrooms2-level-house-for/7564757906.html,Chilliwack,4,1900.0,2600
21,2022-12-10 20:48,Willoughby Heights by Mosaic 3 bedroom plus 2.5 bathroom Townhome,https://abbotsford.craigslist.org/apa/d/langley-township-northwest-willoughby/7559313144.html,Langley,3,1300.0,2700
22,2022-12-10 20:48,Willoughby Heights 4 Bedroom + 4 bathroom DUPLEX,https://abbotsford.craigslist.org/apa/d/langley-township-northwest-willoughby/7566048294.html,Langley,4,2179.0,3650
23,2022-12-10 20:38,"2 Bed and 2 Bathroom, Fully renovated aparment Available for Rent",https://abbotsford.craigslist.org/apa/d/chilliwack-bed-and-bathroom-fully/7567033101.html,Chilliwack,2,,2000
24,2022-12-10 20:30,Upper Level House for RENT,https://abbotsford.craigslist.org/apa/d/abbotsford-southwest-upper-level-house/7567032043.html,Abbotsford,3,,2300
25,2022-12-10 20:01,2 bedroom basement suite,https://abbotsford.craigslist.org/apa/d/surrey-bedroom-basement-suite/7565038451.html,Surrey (Clayton,2,1200.0,1800
26,2022-12-10 19:59,One Bedroom Condo,https://abbotsford.craigslist.org/apa/d/abbotsford-southeast-one-bedroom-condo/7567027808.html,Abbotsford,1,750.0,1450
27,2022-12-10 19:58,One Bedroom Condo,https://abbotsford.craigslist.org/apa/d/abbotsford-southeast-one-bedroom-condo/7559145358.html,Abbotsford,1,750.0,1450
28,2022-12-10 19:23,East Abbotsford  - 5 BDRM House for Rent - Superb location,https://abbotsford.craigslist.org/apa/d/abbotsford-east-abbotsford-bdrm-house/7563521862.html,Abbotsford,5,2450.0,3695
